1,cardenasysalinassrldecv@gmail.com,1
2,industriaspáezyzapata@gmail.com,2
3,clubsuárezysoto@gmail.com,3
4,ruelaslucioyquintana@gmail.com,4
5,robledoehijos@gmail.com,5
6,juárez-zapatasa@gmail.com,6
7,olivo-noriegaac@gmail.com,7
8,centenoyasociados@gmail.com,8
9,clubmadridyrascón@gmail.com,9
10,despachodeleónyortega@gmail.com,10
11,grupoanayaycolón@gmail.com,11
12,laboratoriosesparzalucioyvigil@gmail.com,12
13,reyesyblancosa@gmail.com,13
14,niño-zavala@gmail.com,14
15,laboratoriosduarteycintrón@gmail.com,15
16,bonillayrazosa@gmail.com,16
17,zúñiga-romerosa@gmail.com,17
18,sosa-vélezyasociados@gmail.com,18
19,velascoordóñezyparra@gmail.com,19
20,clubfonsecaconcepciónycervantes@gmail.com,20
