1,272,206,855.03,2020-11-23 00:20:44.000,transferencia
2,454,878,577.54,2020-10-28 09:06:44.000,transferencia
3,134,2,728.03,2021-05-26 23:50:37.000,pago
4,502,690,156.68,2021-03-21 10:37:53.000,transferencia
5,83,614,276.76,2020-04-02 13:12:48.000,transferencia
6,87,429,135.83,2021-03-17 03:46:52.000,transferencia
7,124,949,98.46,2020-08-04 01:52:18.000,transferencia
8,473,8,595.44,2023-07-18 21:43:55.000,pago
9,442,303,276.87,2022-05-07 13:27:15.000,transferencia
10,608,196,410.37,2022-01-01 03:27:21.000,transferencia
11,828,613,291.46,2021-02-21 05:11:05.000,transferencia
12,990,690,167.89,2022-01-29 00:39:03.000,transferencia
13,453,484,765.46,2022-12-18 14:36:59.000,transferencia
14,681,460,149.38,2021-08-24 03:33:24.000,transferencia
15,430,11,738.46,2021-07-08 13:33:35.000,pago
16,518,1,397.29,2023-09-18 23:20:14.000,pago
17,273,364,685.48,2022-03-21 04:29:59.000,transferencia
18,626,128,360.24,2023-04-26 00:25:18.000,transferencia
19,230,300,297.84,2021-01-16 01:02:04.000,transferencia
20,471,17,685.73,2021-12-22 07:16:32.000,pago
21,292,654,649.11,2020-12-07 07:04:45.000,transferencia
22,895,966,875.66,2022-03-21 17:03:53.000,transferencia
23,186,544,953.07,2023-05-29 22:33:06.000,transferencia
24,994,12,739.98,2021-08-22 21:57:29.000,pago
25,58,272,748.33,2020-08-30 07:33:07.000,transferencia
26,137,724,17.44,2021-12-24 04:14:48.000,transferencia
27,102,17,79.12,2020-01-03 05:39:37.000,pago
28,899,283,305.65,2022-09-27 07:07:53.000,transferencia
29,615,841,969.71,2020-02-22 08:25:46.000,transferencia
30,437,578,551.83,2023-11-06 18:02:31.000,transferencia
31,121,234,310.26,2023-06-13 13:52:29.000,transferencia
32,67,1014,154.99,2022-09-18 21:32:40.000,transferencia
33,385,735,579.2,2020-04-17 22:04:06.000,transferencia
34,439,663,441.04,2023-11-16 08:43:31.000,transferencia
35,216,785,79.21,2022-02-04 17:59:37.000,transferencia
36,119,941,270.39,2023-11-18 04:09:57.000,transferencia
37,69,578,102.32,2022-12-04 10:19:17.000,transferencia
38,649,637,525.8,2021-04-13 05:31:48.000,transferencia
39,981,10,37.88,2022-07-26 19:24:08.000,pago
40,824,15,35.01,2022-08-09 05:55:38.000,pago
41,506,163,360.08,2023-12-27 07:41:17.000,transferencia
42,620,312,978.14,2023-03-03 21:59:33.000,transferencia
43,979,682,184.95,2020-09-13 12:56:19.000,transferencia
44,409,765,274.96,2020-11-10 03:14:29.000,transferencia
45,790,121,303.56,2022-07-11 05:54:57.000,transferencia
46,246,15,740.94,2021-06-30 11:20:58.000,pago
47,132,834,798.69,2022-06-11 10:25:17.000,transferencia
48,392,979,393.56,2023-05-22 03:57:42.000,transferencia
49,349,12,496.28,2022-11-30 05:35:35.000,pago
50,910,7,65.91,2021-12-22 21:29:18.000,pago
51,644,1015,211.21,2020-06-23 06:16:44.000,transferencia
52,763,307,314.85,2022-04-02 21:21:28.000,transferencia
53,1004,908,957.6,2023-06-16 16:37:46.000,transferencia
54,646,498,336.75,2020-04-20 14:21:36.000,transferencia
55,525,19,902.93,2022-09-24 08:35:53.000,pago
56,892,7,378.73,2020-12-31 04:23:58.000,pago
57,708,192,87.5,2023-02-04 13:41:29.000,transferencia
58,938,48,513.65,2021-06-26 21:34:31.000,transferencia
59,753,270,628.45,2023-05-22 15:33:53.000,transferencia
60,563,823,104.73,2022-08-21 20:07:52.000,transferencia
61,213,270,923.84,2023-05-11 00:52:33.000,transferencia
62,401,397,863.16,2022-05-24 22:31:48.000,transferencia
63,615,685,127.12,2022-05-18 17:13:49.000,transferencia
64,894,671,777.9,2023-09-23 03:31:59.000,transferencia
65,545,12,487.84,2020-01-26 04:28:01.000,pago
66,863,657,371.84,2021-12-25 06:31:27.000,transferencia
67,391,910,158.17,2022-11-02 05:46:17.000,transferencia
68,409,12,630.58,2022-01-02 22:30:37.000,pago
69,102,734,815.92,2021-12-02 15:41:06.000,transferencia
70,78,936,74.94,2023-07-03 03:13:40.000,transferencia
71,396,86,22.77,2023-02-18 14:12:39.000,transferencia
72,684,824,605.78,2023-02-17 07:38:10.000,transferencia
73,444,175,416.35,2023-05-18 04:59:28.000,transferencia
74,176,293,680.73,2022-09-12 18:01:10.000,transferencia
75,751,791,263.17,2020-04-15 21:59:00.000,transferencia
76,783,435,677.65,2022-01-22 07:53:46.000,transferencia
77,960,637,179.9,2021-05-25 18:08:01.000,transferencia
78,38,11,31.01,2020-11-17 00:51:16.000,pago
79,823,904,322.78,2021-07-30 18:52:31.000,transferencia
80,531,18,636.16,2022-07-13 17:26:55.000,pago
81,411,165,281.8,2023-08-20 22:57:33.000,transferencia
82,379,209,454.84,2023-09-24 12:06:56.000,transferencia
83,681,209,547.61,2021-03-20 19:29:37.000,transferencia
84,86,378,556.13,2023-11-25 21:12:22.000,transferencia
85,93,672,585.74,2022-09-19 04:37:58.000,transferencia
86,498,227,531.01,2023-12-03 05:48:37.000,transferencia
